,passengers,passengers,passengers,passengers,passengers,passengers,passengers,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,Rt_mean
24-04-21,3324676,285527,4035195,41416,345755,2447,35374,1069,1001,7917,0,5385,34,428,1.276255731
25-04-21,3335060,287335,4047648,41416,346016,2447,35374,1069,1001,7950,0,5418,34,428,1.261648764
26-04-21,3341293,288826,4055470,41416,346114,2447,35374,1069,1001,7968,0,5436,34,428,1.246164953
27-04-21,1071,290015,4064108,41416,346392,2447,35374,0,1001,8027,0,5493,34,428,1.235422404
28-04-21,3353526,290830,4070282,41416,346689,2447,35374,1073,1001,8060,0,5524,34,428,1.227305781
29-04-21,3359336,291893,4077422,41416,346956,2447,35374,1073,1001,8099,0,5563,34,428,1.221063429
30-04-21,3365047,294003,4085445,41416,347158,2447,35374,1073,1001,8126,0,5590,34,428,1.225618714
01-05-21,3372518,295773,4094950,41416,347422,2447,35374,1073,1001,8156,0,5620,34,428,1.231727299
02-05-21,3378846,296235,4101986,41416,347668,2447,35374,1073,1002,8182,0,5645,34,428,1.241097912
03-05-21,3384792,298294,4110245,41416,347922,2447,35374,1074,1002,8199,0,5661,34,428,1.246473845
04-05-21,3389929,299286,4116556,41416,348104,2447,35374,1074,1002,8233,0,5695,34,428,1.249557364
05-05-21,3411620,299932,4139114,41416,348325,2447,35374,1074,1004,8257,0,5717,34,428,1.247653518
06-05-21,3415306,301259,4144556,41416,348754,2447,35374,1075,1005,8284,0,5742,34,428,1.242610647
07-05-21,3419211,302335,4149942,41416,349159,2447,35374,1075,1005,8304,0,5762,34,428,1.22917989
08-05-21,3422396,303674,4154845,41416,349538,2447,35374,1075,1005,8317,0,5775,34,428,1.215029683
09-05-21,3426266,304916,4160229,41416,349810,2447,35374,1075,1005,8345,0,5803,34,428,1.20297892
10-05-21,1075,306104,4165944,41416,350015,2447,35374,0,1005,8356,0,5814,34,428,1.184846332
11-05-21,1075,307507,4170473,41416,350418,2447,35374,0,1005,8381,0,5839,34,428,1.160578794
12-05-21,1075,308146,4173672,41416,350794,2447,35374,0,1005,8400,0,5858,34,428,1.13929843
14-05-21,3440014,310347,4181019,41416,351421,2447,35374,1075,1005,8420,0,5878,34,428,1.129887078
15-05-21,3442734,311144,4184944,41416,351829,2447,35374,1075,1005,8427,0,5885,34,428,1.122540907
16-05-21,3445004,311940,4188249,41416,352068,2447,35374,1075,1005,8436,0,5894,34,428,1.11337586
17-05-21,3448147,312852,4192409,41416,352173,2447,35374,1075,1005,8439,0,5897,34,428,1.09632506
18-05-21,3449960,313988,4195605,41416,352420,2447,35374,1075,1005,8451,0,5909,34,428,1.08160895
19-05-21,3451743,314400,4197978,41416,352598,2447,35374,1075,1005,8459,0,5917,34,428,1.06750366
20-05-21,3453994,315405,4201378,41416,352742,2447,35374,1075,1005,8468,0,5926,34,428,1.052033604
21-05-21,3455970,316137,4204244,41416,352900,2447,35374,1075,1005,8474,0,5932,34,428,1.030477421
22-05-21,3458212,316974,4207436,41416,353013,2447,35374,1075,1005,8487,0,5945,34,428,0.99080576
23-05-21,3460802,317874,4211008,41416,353095,2447,35374,1075,1005,8494,0,5952,34,428,0.938671009
24-05-21,3464118,318872,4215395,41416,353168,2447,35374,1075,1005,8495,0,5953,34,428,0.890712171
26-05-21,3468247,320647,4221483,41416,353352,2447,35374,1075,1005,8500,0,5958,34,428,0.84523874
27-05-21,3470139,321918,4224779,41416,353485,2447,35374,1075,1005,8500,0,5958,34,428,0.804822269
30-05-21,3474620,325225,4232639,41416,353557,2447,35374,1075,1005,8500,0,5958,34,428,0.771071733
02-06-21,3483726,328377,4245009,41416,353669,2447,35374,1075,1005,8507,0,5965,34,428,0.739224139
03-06-21,3487274,329440,4249643,41416,353692,2447,35374,1075,1005,8512,0,5970,34,428,0.724478081
04-06-21,3490288,330552,4253804,41416,353727,2447,35374,1075,1005,8518,0,5976,34,428,0.726428294
05-06-21,3493468,331755,4258216,41416,353756,2447,35374,1075,1005,8522,0,5980,34,428,0.732370012
06-06-21,3497333,332557,4262911,41416,353784,2447,35374,1075,1005,8525,0,5983,34,428,0.741501012
07-06-21,3501657,333574,4268273,41416,353805,2447,35374,1075,1005,8527,0,5985,34,428,0.751614693
08-06-21,3505511,334326,4272907,41416,353833,2447,35374,1075,1005,8528,0,5986,34,428,0.757569844
09-06-21,3508918,334843,4276853,41416,353855,2447,35374,1075,1005,8530,0,5988,34,428,0.757451598
10-06-21,3513064,335858,4282035,41416,353876,2447,35374,1075,1005,8532,0,5990,34,428,0.756343535
11-06-21,3516805,337024,4286960,41416,353894,2447,35374,1075,1005,8534,0,5992,34,428,0.746824141
12-06-21,3521211,338217,4292591,41416,353926,2447,35374,1075,1005,8537,0,5995,34,428,0.727131866
13-06-21,3526970,338745,4298900,41416,353948,2447,35374,1075,1006,8539,0,5996,34,428,0.708746047
14-06-21,3532740,339609,4305545,41416,353959,2447,35374,1075,1006,8541,0,5998,34,428,0.689963928
15-06-21,3536228,340280,4309720,41416,353975,2447,35374,1075,1006,8543,0,6000,34,428,0.676315093
16-06-21,3541099,340871,4315193,41416,353986,2447,35374,1075,1006,8545,0,6002,34,428,0.669889182
17-06-21,3545851,342004,4321087,41416,353995,2447,35374,1075,1006,8548,0,6005,34,428,0.663236042
18-06-21,3550369,343117,4326727,41416,354004,2447,35374,1075,1006,8550,0,6007,34,428,0.664699413
19-06-21,3555438,344575,4333261,41416,354011,2447,35374,1075,1007,8554,0,6010,34,428,0.67553751
20-06-21,3561203,345535,4339996,41416,354021,2447,35374,1075,1007,8557,0,6013,34,428,0.685955771
21-06-21,3568505,346559,4348329,41416,354028,2447,35374,1075,1007,8561,0,6017,34,428,0.689736835
23-06-21,3579662,348094,4361039,41416,354046,2447,35374,1075,1007,8562,0,6018,34,428,0.688870952
24-06-21,3585183,349083,4367559,41416,354056,2447,35374,1075,1007,8565,0,6021,34,428,0.689079158
25-06-21,3590587,350292,4374182,41416,354066,2447,35374,1075,1007,8569,0,6025,34,428,0.700517724
26-06-21,3597178,351932,4382426,41416,354079,2447,35374,1075,1007,8571,0,6027,34,428,0.7133485
28-06-21,3612132,354097,4399568,41416,354102,2447,35374,1075,1007,8571,0,6027,34,428,0.72725172
29-06-21,3618803,355142,4407286,41416,354104,2447,35374,1075,1007,8573,0,6029,34,428,0.741756554
30-06-21,3624932,355931,4414209,41416,354109,2447,35374,1075,1007,8573,0,6029,34,428,0.763784208
01-07-21,3632321,357241,4422912,41416,354113,2447,35374,1075,1007,8574,0,6030,34,428,0.783795387
02-07-21,3640235,358909,4432501,41416,354120,2447,35374,1075,1007,8583,0,6039,34,428,0.796281667
03-07-21,3641714,360654,4435728,41416,354123,2447,35374,1075,1008,8585,0,6040,34,428,0.799361678
04-07-21,3649842,362088,4445295,41416,354128,2447,35374,1075,1008,8587,0,6042,34,428,0.799867872
05-07-21,3660162,363329,4456860,41416,354132,2447,35374,1075,1008,8588,0,6043,34,428,0.799981337
06-07-21,3668707,364783,4466866,41416,354139,2447,35374,1075,1008,8591,0,6046,34,428,0.79820604
07-07-21,3676033,365819,4475236,41416,354147,2447,35374,1075,1008,8592,0,6047,34,428,0.790208857
08-07-21,3684693,367070,4485152,41416,354152,2447,35374,1075,1008,8593,0,6048,34,428,0.787431018
09-07-21,3693144,368611,4495149,41416,354157,2447,35374,1075,1008,8594,0,6049,34,428,0.785979668
10-07-21,3701588,370364,4505351,41416,354162,2447,35374,1075,1008,8599,0,6054,34,428,0.786192793
11-07-21,3710820,372032,4516253,41416,354164,2447,35374,1075,1008,8599,0,6054,34,428,0.787955459
13-07-21,3731115,374543,4539065,41416,354170,2447,35374,1075,1009,8605,0,6059,34,428,0.782974876
14-07-21,3738823,375723,4547957,41416,354174,2447,35374,1075,1009,8608,0,6062,34,428,0.778935022
15-07-21,3748278,377301,4558993,41416,354177,2447,35374,1075,1009,8609,0,6063,34,428,0.786220418
16-07-21,3757497,379420,4570346,41416,354192,2447,35374,1075,1009,8612,0,6066,34,428,0.79439896
17-07-21,3767841,381146,4582425,41416,354201,2447,35374,1075,1009,8614,0,6068,34,428,0.801647019
19-07-21,3786493,384444,4604388,41416,354214,2447,35374,1075,1010,8619,0,6072,34,428,0.811187046
20-07-21,3795766,386044,4615266,41416,354219,2447,35374,1075,1010,8622,0,6075,34,428,0.824134985
21-07-21,3801801,387036,4622296,41416,354222,2447,35374,1076,1015,8638,0,6085,34,428,0.84850888
22-07-21,3811461,388297,4633219,41416,354224,2447,35374,1076,1015,8639,0,6086,34,428,0.874197021
23-07-21,3819972,389491,4642925,41416,354225,2447,35374,1077,1015,8641,0,6087,34,428,0.896583403
24-07-21,3829858,391042,4654365,41416,354228,2447,35374,1077,1015,8644,0,6090,34,428,0.923078559
25-07-21,3839438,392317,4665222,41416,354230,2447,35374,1078,1015,8645,0,6090,34,428,0.954651603
26-07-21,3851195,393587,4678252,41416,354233,2447,35374,1078,1015,8645,0,6090,34,428,0.985292106
27-07-21,3860788,394590,4688851,41416,354236,2447,35374,1078,1015,8646,0,6091,34,428,1.011356245
28-07-21,3868838,395797,4698112,41416,354240,2447,35374,1078,1015,8647,0,6092,34,428,1.030257265
29-07-21,3878296,397083,4708865,41416,354249,2447,35374,1078,1015,8648,0,6093,34,428,1.040740872
30-07-21,3878296,398405,4710199,41416,354261,2447,35374,1078,1015,8651,0,6096,34,428,1.050521155
31-07-21,3897524,400121,4731156,41416,354274,2447,35374,1078,1015,8651,0,6096,34,428,1.052913885
01-08-21,3908035,401863,4743411,41416,354276,2447,35374,1078,1015,8653,0,6098,34,428,1.045616235
02-08-21,3925143,403381,4762040,41416,354279,2447,35374,1078,1017,8658,0,6101,34,428,1.033354371
03-08-21,3939276,403646,4776448,41416,354289,2447,35374,1078,1020,8661,0,6101,34,428,1.020707873
04-08-21,3951611,404627,4789771,41416,354296,2447,35374,1078,1020,8661,0,6101,34,428,1.010717872
05-08-21,3964864,406239,4804639,41416,354299,2447,35374,1080,1020,8663,0,6101,34,428,1.004329683
06-08-21,3977653,407630,4818824,41416,354304,2447,35374,1080,1020,8663,0,6101,34,428,1.002461678
07-08-21,3991914,409355,4834820,41416,354314,2447,35374,1080,1020,8663,0,6101,34,428,0.997085284
08-08-21,4004755,410931,4849241,41416,354318,2447,35374,1080,1020,8663,0,6101,34,428,0.992792024
09-08-21,4018899,412585,4865051,41416,354330,2447,35374,1080,1020,8664,0,6102,34,428,0.989207221
10-08-21,4031733,413673,4878978,41416,354335,2447,35374,1080,1020,8664,0,6102,34,428,0.985989125
11-08-21,4042785,414792,4891160,41416,354346,2447,35374,1080,1020,8664,0,6102,34,428,0.982253183
12-08-21,4042785,416493,4892867,41416,354352,2447,35374,1080,1021,8665,0,6102,34,428,0.978403287
13-08-21,4067610,418093,4919297,41416,354357,2447,35374,1080,1021,8667,0,6104,34,428,0.990296585
14-08-21,4080889,420260,4934750,41416,354364,2447,35374,1080,1021,8667,0,6104,34,428,0.976489022
15-08-21,4093698,422025,4949336,41416,354376,2447,35374,1080,1021,8667,0,6104,34,428,0.960080572
16-08-21,4107799,423583,4964996,41416,354377,2447,35374,1080,1022,8668,0,6104,34,428,0.944354543
17-08-21,4120955,424951,4979532,41416,354389,2447,35374,1080,1022,8668,0,6104,34,428,0.930974264
18-08-21,3775704,382942,4592092,41416,354209,2447,35374,1075,1009,8615,0,6069,34,428,0.922013436
19-08-21,4145423,427891,5006945,41416,354394,2447,35374,1080,1022,8668,0,6104,34,428,0.91781915
20-08-21,4157883,429282,5020802,41416,354400,2447,35374,1081,1022,8669,0,6104,34,428,0.893046586
21-08-21,4170491,431300,5035430,41416,354402,2447,35374,1081,1022,8669,0,6104,34,428,0.897688033
22-08-21,4182383,432945,5048970,41416,354405,2447,35374,1081,1022,8669,0,6104,34,428,0.906283677
23-08-21,4195906,434536,5064087,41416,354408,2447,35374,1081,1022,8670,0,6105,34,428,0.91830602
24-08-21,4208772,435602,5078023,41416,354412,2447,35374,1082,1022,8671,0,6105,34,428,0.930189653
25-08-21,4220153,436593,5090402,41416,354419,2447,35374,1082,1022,8672,0,6106,34,428,0.940820802
26-08-21,4233253,438057,5104970,41416,354423,2447,35374,1082,1022,8672,0,6106,34,428,0.949600996
27-08-21,4244987,439467,5118118,41416,354427,2447,35374,1082,1023,8673,0,6106,34,428,0.961526195
28-08-21,4258107,441552,5133333,41416,354437,2447,35374,1082,1023,8673,0,6106,34,428,0.973274907
29-08-21,4270154,443352,5147186,41416,354443,2447,35374,1082,1023,8673,0,6106,34,428,0.984456738
30-08-21,4283267,444761,5161715,41416,354450,2447,35374,1082,1023,8673,0,6106,34,428,0.993114341
31-08-21,4295429,446235,5175357,41416,354456,2447,35374,1082,1023,8673,0,6106,34,428,1.00218609
01-09-21,4322909,449654,5206269,41416,354469,2447,35374,1082,1025,8675,0,6106,34,428,1.007272233
02-09-21,4336813,451660,5222186,41416,354476,2447,35374,1082,1025,8680,0,6111,34,428,1.010440662
03-09-21,4336813,451660,5222186,41416,354476,2447,35374,1082,1025,8680,0,6111,34,428,1.011591632
04-09-21,4351731,453460,5238910,41416,354482,2447,35374,1082,1025,8680,0,6111,34,428,1.012183795
05-09-21,4366345,455776,5255845,41416,354487,2447,35374,1082,1025,8680,0,6111,34,428,1.015581515
06-09-21,4382326,457409,5273459,41416,354487,2447,35374,1082,1025,8680,0,6111,34,428,1.018840996
07-09-21,4396705,458813,5289244,41416,354489,2447,35374,1082,1025,8680,0,6111,34,428,1.017263056
08-09-21,4409596,460364,5303690,41416,354493,2447,35374,1082,1025,8680,0,6111,34,428,1.015837697
09-09-21,4425262,462210,5321209,41416,354500,2447,35374,1082,1025,8680,0,6111,34,428,1.016365779
10-09-21,4439265,464141,5337148,41416,354505,2447,35374,1082,1026,8681,0,6111,34,428,1.019265185
11-09-21,4453251,466318,5353317,41416,354511,2447,35374,1082,1026,8681,0,6111,34,428,1.0209373
12-09-21,4465211,468574,5367535,41416,354513,2447,35374,1082,1027,8682,0,6111,34,428,1.023052991
13-09-21,4481849,470093,5385694,41416,354515,2447,35374,1082,1027,8682,0,6111,34,428,1.020753354
14-09-21,4496841,471405,5402005,41416,354522,2447,35374,1082,1027,8682,0,6111,34,428,1.01959638
15-09-21,4509691,472705,5416160,41416,354527,2447,35374,1082,1027,8682,0,6111,34,428,1.024066598
18-09-21,4552176,478452,5464407,41416,354542,2447,35374,1083,1027,8683,0,6111,34,428,1.033263835
19-09-21,4565606,480351,5479747,41416,354553,2447,35374,1083,1027,8684,0,6112,34,428,1.034966618
20-09-21,4589833,481722,5505353,41416,354561,2447,35374,1083,1027,8684,0,6112,34,428,1.034944967
21-09-21,4604416,483023,5521242,41416,354566,2447,35374,1083,1027,8685,0,6113,34,428,1.027481452
22-09-21,4616568,484332,5534712,41416,354575,2447,35374,1083,1027,8685,0,6113,34,428,1.017523199
23-09-21,4630334,485757,5549912,41416,354584,2447,35374,1083,1027,8686,0,6114,34,428,1.008265666
24-09-21,4643439,487634,5564905,41416,354595,2447,35374,1083,1027,8686,0,6114,34,428,0.996624391
26-09-21,4671615,491709,5597169,41416,354608,2447,35374,1083,1027,8687,0,6115,34,428,0.980141248
28-09-21,4688288,494855,5616994,41416,354614,2447,35374,1083,1027,8688,0,6116,34,428,0.963015058
30-09-21,4727264,497943,5659065,41416,354621,2447,35374,1083,1027,8688,0,6116,34,428,0.944056388
01-10-21,4740233,500155,5674248,41416,354623,2447,35374,1083,1027,8688,0,6116,34,428,0.929288833
02-10-21,4754737,502367,5690967,41416,354626,2447,35374,1083,1027,8688,0,6116,34,428,0.921869503
03-10-21,4768897,505001,5707764,41416,354629,2447,35374,1083,1027,8689,0,6117,34,428,0.915272348
04-10-21,4784581,507133,5725582,41416,354631,2447,35374,1083,1028,8690,0,6117,34,428,0.909062786
05-10-21,4798778,509092,5741741,41416,354634,2447,35374,1083,1028,8690,0,6117,34,428,0.904212872
06-10-21,4811346,510775,5756002,41416,354644,2447,35374,1083,1028,8690,0,6117,34,428,0.90304863
07-10-21,4825325,512534,5771744,41416,354648,2447,35374,1083,1028,8690,0,6117,34,428,0.904770163
08-10-21,4839085,514581,5787555,41416,354652,2447,35374,1083,1028,8690,0,6117,34,428,0.90555937
09-10-21,4854113,517130,5805135,41416,354655,2447,35374,1083,1028,8690,0,6117,34,428,0.906237119
10-10-21,4868978,519487,5822363,41416,354661,2447,35374,1083,1028,8690,0,6117,34,428,0.909312986
12-10-21,4899873,523386,5857162,41416,354666,2447,35374,1083,1028,8690,0,6117,34,428,0.913527404
14-10-21,4927844,526637,5888396,41416,354678,2447,35374,1083,1029,8691,0,6117,34,428,0.915941427
15-10-21,4943073,528663,5905652,41416,354679,2447,35374,1085,1029,8693,0,6117,34,428,0.917597681
16-10-21,4957834,531265,5923016,41416,354680,2447,35374,1085,1029,8693,0,6117,34,428,0.921690654
17-10-21,4972127,533899,5939945,41416,354682,2447,35374,1085,1029,8693,0,6117,34,428,0.927779967
18-10-21,4990960,535614,5960497,41416,354686,2447,35374,1085,1029,8693,0,6117,34,428,0.933355661
19-10-21,5009827,537833,5981585,41416,354688,2447,35374,1085,1029,8693,0,6117,34,428,0.937815441
20-10-21,5026672,539599,6000198,41416,354690,2447,35374,1085,1029,8693,0,6117,34,428,0.94122829
21-10-21,5044347,541822,6020098,41416,354692,2447,35374,1085,1029,8693,0,6117,34,428,0.944782678
22-10-21,5061239,544498,6039668,41416,354694,2447,35374,1085,1029,8693,0,6117,34,428,0.946358507
23-10-21,5078293,547220,6059445,41416,354695,2447,35374,1085,1029,8693,0,6117,34,428,0.94640367
24-10-21,5095612,548012,6077559,41416,354698,2447,35374,1085,1029,8693,0,6117,34,428,0.944873138
25-10-21,5114025,549972,6097933,41416,354699,2447,35374,1085,1029,8693,0,6117,34,428,0.9418089
26-10-21,5132188,552549,6118675,41416,354701,2447,35374,1085,1030,8694,0,6117,34,428,0.937996114
27-10-21,5147119,553152,6134211,41416,354703,2447,35374,1085,1030,8694,0,6117,34,428,0.93459205
28-10-21,5163926,554024,6151892,41416,354705,2447,35374,1085,1030,8694,0,6117,34,428,0.931157044
29-10-21,5178899,554349,6167192,41416,354707,2447,35374,1085,1030,8694,0,6117,34,428,0.928860776
30-10-21,5196520,554760,6185226,41416,354709,2447,35374,1085,1030,8694,0,6117,34,428,0.927543644
31-10-21,5215394,555154,6204496,41416,354711,2447,35374,1085,1030,8694,0,6117,34,428,0.926145649
01-11-21,5234828,555245,6224023,41416,354713,2447,35374,1085,1030,8694,0,6117,34,428,0.918355202
02-11-21,5251072,555814,6240838,41416,354715,2447,35374,1085,1030,8694,0,6117,34,428,0.911160443
03-11-21,5266977,555922,6256855,41416,354719,2447,35374,1085,1030,8694,0,6117,34,428,0.904467547
04-11-21,5284188,556034,6274183,41416,354724,2447,35374,1085,1030,8694,0,6117,34,428,0.900107921
05-11-21,5295177,556475,6285614,41416,354725,2447,35374,1085,1030,8694,0,6117,34,428,0.898269925
06-11-21,5309237,556784,6299987,41416,354729,2447,35374,1085,1030,8694,0,6117,34,428,0.897661373
07-11-21,5312864,557053,6303888,41416,354734,2447,35374,1085,1030,8694,0,6117,34,428,0.898589345
08-11-21,5348674,557309,6339958,41416,354738,2447,35374,1085,1030,8694,0,6117,34,428,0.90897466
09-11-21,5368545,557840,6360361,41416,354739,2447,35374,1085,1030,8694,0,6117,34,428,0.920748385
10-11-21,5384745,557995,6376719,41416,354742,2447,35374,1085,1030,8694,0,6117,34,428,0.93257757
11-11-21,5400904,558231,6393117,41416,354745,2447,35374,1085,1030,8694,0,6117,34,428,0.943227156
12-11-21,5410645,558660,6403288,41416,354746,2447,35374,1085,1030,8694,0,6117,34,428,0.950228894
13-11-21,5427040,558790,6419814,41416,354747,2447,35374,1085,1030,8694,0,6117,34,428,0.954864676
14-11-21,5445049,559711,6438747,41416,354750,2447,35374,1085,1030,8694,0,6117,34,428,0.957835615
15-11-21,5465250,560237,6459479,41416,354755,2447,35374,1085,1032,8696,0,6117,34,428,0.960436529
16-11-21,5484441,560609,6479043,41416,354756,2447,35374,1085,1032,8696,0,6117,34,428,0.961542784
17-11-21,5502145,561200,6497342,41416,354760,2447,35374,1085,1032,8696,0,6117,34,428,0.961177515
18-11-21,5520011,561723,6515736,41416,354765,2447,35374,1085,1032,8696,0,6117,34,428,0.959883848
19-11-21,5538101,562310,6534418,41416,354770,2447,35374,1085,1032,8696,0,6117,34,428,0.959174746
20-11-21,5556409,563230,6553647,41416,354771,2447,35374,1085,1032,8696,0,6117,34,428,0.960371044
21-11-21,5576255,563853,6574121,41416,354776,2447,35374,1085,1032,8696,0,6117,34,428,0.962060912
22-11-21,5598376,564293,6596685,41416,354779,2447,35374,1085,1032,8696,0,6117,34,428,0.965487972
23-11-21,5621032,564751,6619801,41416,354781,2447,35374,1085,1032,8696,0,6117,34,428,0.96877408
24-11-21,5641759,565276,6641055,41416,354783,2447,35374,1085,1032,8696,0,6117,34,428,0.972417973
25-11-21,5662374,565719,6662118,41416,354788,2447,35374,1085,1032,8696,0,6117,34,428,0.975360073
26-11-21,5682496,566711,6683235,41416,354791,2447,35374,1085,1032,8696,0,6117,34,428,0.977370732
27-11-21,5702320,567640,6703989,41416,354792,2447,35374,1085,1032,8696,0,6117,34,428,0.97775164
28-11-21,5723109,568789,6725929,41416,354794,2447,35374,1085,1032,8696,0,6117,34,428,0.978005882
29-11-21,5743346,568796,6746173,41416,354794,2447,35374,1085,1032,8696,0,6117,34,428,0.97589392
30-11-21,5763117,569279,6766428,41416,354795,2447,35374,1085,1032,8698,0,6119,34,428,0.978737193
01-12-21,5782548,569846,6786426,41416,354795,2447,35374,1085,1032,8706,0,6127,34,428,0.98116356
02-12-21,5801391,571183,6806608,41416,354797,2447,35374,1085,1032,8709,0,6130,34,428,0.98363278
03-12-21,5821202,573939,6829183,41416,354805,2447,35374,1085,1033,8716,0,6136,34,428,0.985823764
04-12-21,5840780,575752,6850580,41416,354811,2447,35374,1085,1034,8721,0,6140,34,428,0.986490575
05-12-21,5862117,577967,6874138,41416,354817,2447,35374,1085,1034,8721,0,6140,34,428,0.986281085
06-12-21,5884347,579934,6898335,41416,354817,2447,35374,1085,1034,8721,0,6140,34,428,0.984606389
07-12-21,5905058,581903,6921015,41416,354817,2447,35374,1085,1034,8723,0,6142,34,428,0.977531673
08-12-21,5925461,584023,6943542,41416,354821,2447,35374,1085,1034,8723,0,6142,34,428,0.967329344
09-12-21,5946920,585690,6966673,41416,354826,2447,35374,1085,1034,8725,0,6144,34,428,0.957459783
10-12-21,5969348,588182,6991598,41416,354831,2447,35374,1085,1034,8726,0,6145,34,428,0.949224355
11-12-21,5991282,589941,7015295,41416,354835,2447,35374,1085,1034,8726,0,6145,34,428,0.941635094
13-12-21,6036800,592942,7063822,41416,354843,2447,35374,1085,1035,8727,0,6145,34,428,0.935486273
14-12-21,6058982,594543,7087607,41416,354845,2447,35374,1085,1035,8729,0,6147,34,428,0.931119454
15-12-21,6079834,596671,7110591,41416,354849,2447,35374,1085,1035,8729,0,6147,34,428,0.927639051
16-12-21,6101556,598255,7133905,41416,354857,2447,35374,1085,1035,8729,0,6147,34,428,0.930046472
17-12-21,6122705,600181,7156980,41416,354857,2447,35374,1085,1036,8730,0,6147,34,428,0.934115016
18-12-21,6143844,601903,7179843,41416,354859,2447,35374,1085,1036,8730,0,6147,34,428,0.940514147
19-12-21,6189356,605117,7228575,41416,354865,2447,35374,1085,1047,8741,0,6147,34,428,0.949779773
20-12-21,6189356,605117,7228575,41416,354865,2447,35374,1085,1047,8741,0,6147,34,428,0.957003124
21-12-21,6210835,607224,7252171,41416,354875,2447,35374,1086,1053,8748,0,6147,34,428,0.966471142
22-12-21,6231482,608874,7274476,41416,354883,2447,35374,1086,1062,8758,0,6148,34,428,0.977042712
23-12-21,6252946,610064,7297132,41416,354885,2447,35374,1086,1074,8775,0,6153,34,428,0.984683039
24-12-21,6275806,611749,7321679,41416,354887,2447,35374,1086,1080,8782,0,6154,34,428,0.994292986
25-12-21,6298262,613654,1047780,41416,354889,2447,35374,1086,1083,8785,0,6154,34,428,1.029763476
26-12-21,6321004,615201,1049332,41416,354894,2447,35374,1086,1091,8793,0,6154,34,428,1.097821755
27-12-21,6343491,616671,7394296,41416,354897,2447,35374,1086,1096,8799,0,6155,34,428,1.223983266
28-12-21,6365527,617707,7417375,41416,354904,2447,35374,1086,1100,8805,0,6157,34,428,1.408124124
29-12-21,6386241,619356,7439746,41416,354912,2447,35374,1086,1105,8816,0,6163,34,428,1.575682551
30-12-21,6407028,620319,7461504,41416,354920,2447,35374,1087,1110,8824,0,6165,34,428,1.708361911
31-12-21,6427548,622004,7483722,41416,354933,2447,35374,1087,1120,8835,0,6166,34,428,1.953280577
01-01-22,6446237,623366,7503782,41416,354942,2447,35374,1090,1125,8854,0,6177,34,428,2.427467264
02-01-22,6463156,624769,7522118,41416,354956,2447,35374,1091,1135,8874,0,6186,34,428,2.969622068
03-01-22,6484755,626020,7544990,41416,354978,2447,35374,1091,1136,8875,0,6186,34,428,3.353005434
04-01-22,6505110,627363,7566778,41416,355068,2447,35374,1095,1138,8922,0,6227,34,428,3.463002081
05-01-22,6523001,628751,7586146,41416,355157,2447,35374,1095,1147,8960,0,6256,34,428,3.361384111
06-01-22,6540561,629929,7604981,41416,355254,2447,35374,1098,1158,9004,0,6286,34,428,3.112308495
07-01-22,6556931,631627,7623250,41416,355455,2447,35374,1099,1167,9041,0,6313,34,428,2.904560114
08-01-22,6572756,633292,7640938,41416,355653,2447,35374,1100,1169,9087,0,6356,34,428,2.753118813
09-01-22,6588610,634740,7658488,41416,355901,2447,35374,1101,1180,9139,0,6396,34,428,2.522369359
10-01-22,6602569,636168,7674047,41416,356073,2447,35374,1101,1184,9171,0,6424,34,428,2.258487265
12-01-22,6628947,639351,7704325,41416,356790,2447,35374,1104,1197,9256,0,6493,34,428,1.999314329
14-01-22,6655276,642680,7735060,41416,357867,2447,35374,1104,1200,9302,0,6536,34,428,1.785444977
15-01-22,6664618,643720,7745735,41416,358160,2447,35374,1104,1200,9313,0,6547,34,428,1.652393699
16-01-22,6673737,644973,7756224,41416,358277,2447,35374,1104,1200,9331,0,6565,34,428,1.539509038
17-01-22,6684284,646154,7768200,41416,358525,2447,35374,1104,1200,9353,0,6587,34,428,1.425090852
18-01-22,6698270,646851,7783429,41416,359071,2447,35374,1104,1202,9376,0,6608,34,428,1.341853326
19-01-22,6710521,648283,7797608,41416,359567,2447,35374,1104,1206,9398,0,6626,34,428,1.281211374
20-01-22,6721413,648909,7809469,41416,359910,2447,35374,1104,1207,9412,0,6639,34,428,1.240434551
21-01-22,6731879,650363,7821707,41416,360228,2447,35374,1104,1208,9434,0,6660,34,428,1.209383728
